,slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
2895,ethereum,ETH,Ethereum,2018-06-01,2,578.67,589.09,567.66,580.04,1945890000.0,57745700000.0,0.5777,21.43
2929,ripple,XRP,Ripple,2013-09-01,3,0.0056229999999999995,0.005872,0.005574,0.005787,0.0,43960300.0,0.7148,0.0
2959,ripple,XRP,Ripple,2013-10-01,3,0.010906,0.012447,0.010517,0.010529,0.0,85261900.0,0.0062,0.0
2990,ripple,XRP,Ripple,2013-11-01,3,0.006075,0.0063560000000000005,0.006024,0.006353,0.0,47494500.0,0.991,0.0
3020,ripple,XRP,Ripple,2013-12-01,3,0.03916,0.055028999999999995,0.03916,0.051497,0.0,306152000.0,0.7774,0.02
3051,ripple,XRP,Ripple,2014-01-01,3,0.027364999999999997,0.02781,0.026815,0.026944,58533.0,213937000.0,0.1296,0.0
3082,ripple,XRP,Ripple,2014-02-01,3,0.020519,0.021141999999999998,0.020432,0.020697999999999998,123949.0,160418000.0,0.3746,0.0
3110,ripple,XRP,Ripple,2014-03-01,3,0.013687000000000001,0.013992,0.013483000000000002,0.013799,111575.0,107003000.0,0.6208,0.0
3141,ripple,XRP,Ripple,2014-04-01,3,0.008785,0.009319,0.008588,0.008757,172709.0,68678000.0,0.2312,0.0
3171,ripple,XRP,Ripple,2014-05-01,3,0.005364,0.005465,0.005334,0.005413,167861.0,41933900.0,0.6031,0.0
3202,ripple,XRP,Ripple,2014-06-01,3,0.004145,0.004331000000000001,0.003922,0.004092,246244.0,32404200.0,0.4156,0.0
3232,ripple,XRP,Ripple,2014-07-01,3,0.0037799999999999995,0.004213000000000001,0.003618,0.0036229999999999995,241870.0,29549400.0,0.0084,0.0
3263,ripple,XRP,Ripple,2014-08-01,3,0.005183,0.005369,0.005111,0.005369,393153.0,42771000.0,1.0,0.0
3294,ripple,XRP,Ripple,2014-09-01,3,0.004886,0.005047,0.0048850000000000005,0.005025,267095.0,141641000.0,0.8642,0.0
3324,ripple,XRP,Ripple,2014-10-01,3,0.004645000000000001,0.004772,0.004644,0.004752,64998.0,134654000.0,0.8438,0.0
3355,ripple,XRP,Ripple,2014-11-01,3,0.0048649999999999995,0.004879,0.004636,0.004671,190204.0,141038000.0,0.14400000000000002,0.0
3385,ripple,XRP,Ripple,2014-12-01,3,0.011204,0.012572,0.008105,0.012559,3453750.0,345989000.0,0.9971,0.0
3416,ripple,XRP,Ripple,2015-01-01,3,0.024455,0.024455,0.024205,0.024390000000000002,399022.0,757566000.0,0.74,0.0
3447,ripple,XRP,Ripple,2015-02-01,3,0.014286000000000002,0.014331,0.014088,0.014138999999999999,852106.0,442562000.0,0.2099,0.0
3475,ripple,XRP,Ripple,2015-03-01,3,0.012991999999999998,0.012991999999999998,0.012142,0.012239,1496970.0,414565000.0,0.1141,0.0
3506,ripple,XRP,Ripple,2015-04-01,3,0.007772,0.007772,0.007564,0.007668,708058.0,247992000.0,0.5,0.0
3536,ripple,XRP,Ripple,2015-05-01,3,0.008034999999999999,0.00808,0.008018,0.008018,663959.0,256371000.0,0.0,0.0
3567,ripple,XRP,Ripple,2015-06-01,3,0.008276,0.008295,0.007562999999999999,0.007579000000000001,777565.0,264068000.0,0.0219,0.0
3597,ripple,XRP,Ripple,2015-07-01,3,0.011317,0.011406,0.011027,0.011198,558248.0,361122000.0,0.4512,0.0
3628,ripple,XRP,Ripple,2015-08-01,3,0.008438,0.008440999999999999,0.00822,0.008222,196429.0,269260000.0,0.009000000000000001,0.0
3659,ripple,XRP,Ripple,2015-09-01,3,0.007884,0.007888,0.007770999999999999,0.007815,401903.0,256140000.0,0.3761,0.0
3689,ripple,XRP,Ripple,2015-10-01,3,0.005518,0.00554,0.0054280000000000005,0.005448,557597.0,179271000.0,0.1786,0.0
3720,ripple,XRP,Ripple,2015-11-01,3,0.004685,0.004918,0.0046630000000000005,0.004901,490105.0,155335000.0,0.9333,0.0
3750,ripple,XRP,Ripple,2015-12-01,3,0.004202,0.004208,0.004054,0.00409,312401.0,140912000.0,0.2338,0.0
3781,ripple,XRP,Ripple,2016-01-01,3,0.00604,0.006044,0.005933,0.005954999999999999,211767.0,202562000.0,0.1982,0.0
3812,ripple,XRP,Ripple,2016-02-01,3,0.006398,0.006551,0.006365999999999999,0.006542,830380.0,217038000.0,0.9514,0.0
3841,ripple,XRP,Ripple,2016-03-01,3,0.007923000000000001,0.008020000000000001,0.007923000000000001,0.008006000000000001,738772.0,270088000.0,0.8557,0.0
3872,ripple,XRP,Ripple,2016-04-01,3,0.007391,0.00748,0.007391,0.007418000000000001,827273.0,254546000.0,0.3034,0.0
3902,ripple,XRP,Ripple,2016-05-01,3,0.006812,0.0068189999999999995,0.006789,0.006790999999999999,241733.0,237517000.0,0.0667,0.0
3933,ripple,XRP,Ripple,2016-06-01,3,0.0057009999999999995,0.0058119999999999995,0.00569,0.005809,1018470.0,198784000.0,0.9754,0.0
3963,ripple,XRP,Ripple,2016-07-01,3,0.006651000000000001,0.006837,0.006633,0.0067870000000000005,993538.0,235073000.0,0.7549,0.0
3994,ripple,XRP,Ripple,2016-08-01,3,0.005942,0.005942,0.0059039999999999995,0.005906000000000001,958956.0,211241000.0,0.0526,0.0
4025,ripple,XRP,Ripple,2016-09-01,3,0.006013,0.00603,0.00598,0.005984000000000001,660021.0,213837000.0,0.08,0.0
4055,ripple,XRP,Ripple,2016-10-01,3,0.008839,0.008848,0.008186,0.008205,5895530.0,313570000.0,0.0287,0.0
4086,ripple,XRP,Ripple,2016-11-01,3,0.008197,0.008259,0.008083,0.008102,1875440.0,291237000.0,0.10800000000000001,0.0
4116,ripple,XRP,Ripple,2016-12-01,3,0.006723000000000001,0.006737000000000001,0.006702,0.006702,1142000.0,241183000.0,0.0,0.0
4147,ripple,XRP,Ripple,2017-01-01,3,0.006523,0.006702,0.006334,0.006368,418978.0,237032000.0,0.0924,0.0
4178,ripple,XRP,Ripple,2017-02-01,3,0.006311,0.006642,0.006249,0.006540000000000001,1836820.0,232609000.0,0.7405,0.0
4206,ripple,XRP,Ripple,2017-03-01,3,0.005525,0.005547,0.005372,0.005408,1630460.0,205222000.0,0.2057,0.0
4237,ripple,XRP,Ripple,2017-04-01,3,0.021743000000000002,0.022798,0.019663999999999997,0.021892,30657700.0,812963000.0,0.7109,0.0
4267,ripple,XRP,Ripple,2017-05-01,3,0.051579999999999994,0.057779,0.049317,0.055115,61730100.0,1954090000.0,0.6852,0.01
4298,ripple,XRP,Ripple,2017-06-01,3,0.243946,0.33679699999999996,0.243946,0.33365700000000004,588819000.0,9330770000.0,0.9662,0.09
4328,ripple,XRP,Ripple,2017-07-01,3,0.262855,0.26305300000000004,0.25296599999999997,0.254744,53611000.0,10065100000.0,0.1763,0.01
4359,ripple,XRP,Ripple,2017-08-01,3,0.168024,0.178332,0.166124,0.177053,119957000.0,6440860000.0,0.8952,0.01
4390,ripple,XRP,Ripple,2017-09-01,3,0.255803,0.256162,0.243833,0.248479,283576000.0,9808460000.0,0.3768,0.01
4420,ripple,XRP,Ripple,2017-10-01,3,0.197622,0.20718499999999998,0.19617,0.20653200000000002,51345500.0,7577590000.0,0.9407,0.01
4451,ripple,XRP,Ripple,2017-11-01,3,0.200247,0.20150099999999999,0.193613,0.194124,67921000.0,7715840000.0,0.0648,0.01
4481,ripple,XRP,Ripple,2017-12-01,3,0.250352,0.258828,0.239438,0.25569899999999995,182992000.0,9669290000.0,0.8386,0.02
4512,ripple,XRP,Ripple,2018-01-01,3,2.3,2.39,2.15,2.39,1894230000.0,88945900000.0,1.0,0.24
4543,ripple,XRP,Ripple,2018-02-01,3,1.16,1.16,0.930378,0.9625299999999999,1410420000.0,44971500000.0,0.14,0.23
4571,ripple,XRP,Ripple,2018-03-01,3,0.9041309999999999,0.9537959999999999,0.8906299999999999,0.9283469999999999,475257000.0,35346800000.0,0.5971,0.06
4602,ripple,XRP,Ripple,2018-04-01,3,0.513854,0.515437,0.46622299999999994,0.48508100000000004,297869000.0,20088900000.0,0.3832,0.05
4632,ripple,XRP,Ripple,2018-05-01,3,0.838355,0.8420690000000001,0.797826,0.841407,630809000.0,32818400000.0,0.985,0.04
4663,ripple,XRP,Ripple,2018-06-01,3,0.612893,0.6248239999999999,0.609069,0.623364,263088000.0,24019200000.0,0.9073,0.02
4678,bitcoin-cash,BCH,Bitcoin Cash,2017-08-01,4,294.6,426.11,210.38,380.01,65988800.0,0.0,0.7863,215.73
4709,bitcoin-cash,BCH,Bitcoin Cash,2017-09-01,4,588.4,645.52,586.73,622.17,393839000.0,9740460000.0,0.6028,58.79
4739,bitcoin-cash,BCH,Bitcoin Cash,2017-10-01,4,433.38,436.94,415.15,415.15,164290000.0,7207770000.0,0.0,21.79
4770,bitcoin-cash,BCH,Bitcoin Cash,2017-11-01,4,438.3,538.26,437.91,531.83,1152230000.0,7342250000.0,0.9359,100.35
4800,bitcoin-cash,BCH,Bitcoin Cash,2017-12-01,4,1381.81,1482.68,1300.46,1462.68,965151000.0,23257100000.0,0.8902,182.22
4831,bitcoin-cash,BCH,Bitcoin Cash,2018-01-01,4,2534.82,2534.86,2389.52,2432.54,922813000.0,42804800000.0,0.29600000000000004,145.34
4862,bitcoin-cash,BCH,Bitcoin Cash,2018-02-01,4,1491.12,1503.3,1214.88,1274.35,678020000.0,25263200000.0,0.2062,288.42
4890,bitcoin-cash,BCH,Bitcoin Cash,2018-03-01,4,1204.84,1303.45,1195.03,1291.92,482240000.0,20473600000.0,0.8937,108.42
4921,bitcoin-cash,BCH,Bitcoin Cash,2018-04-01,4,688.01,699.05,629.93,643.03,318440000.0,11729600000.0,0.1895,69.12
4951,bitcoin-cash,BCH,Bitcoin Cash,2018-05-01,4,1348.64,1351.28,1261.6,1351.28,774633000.0,23065700000.0,1.0,89.68
4982,bitcoin-cash,BCH,Bitcoin Cash,2018-06-01,4,995.66,1010.34,979.83,1002.92,538528000.0,17084100000.0,0.7568,30.51
4988,eos,EOS,EOS,2017-07-01,5,1.03,1.07,0.989566,1.01,13613000.0,0.0,0.254,0.08
5019,eos,EOS,EOS,2017-08-01,5,1.75,1.81,1.68,1.78,39175500.0,442971000.0,0.7692,0.13
5050,eos,EOS,EOS,2017-09-01,5,1.3,1.33,1.26,1.3,25853000.0,415441000.0,0.5714,0.07
5080,eos,EOS,EOS,2017-10-01,5,0.721765,0.725224,0.674128,0.7077600000000001,8938190.0,272363000.0,0.6582,0.05
5111,eos,EOS,EOS,2017-11-01,5,0.785862,1.27,0.758617,1.05,74917400.0,345787000.0,0.5698,0.51
5141,eos,EOS,EOS,2017-12-01,5,2.83,3.24,2.73,3.24,74402000.0,1443760000.0,1.0,0.51
5172,eos,EOS,EOS,2018-01-01,5,8.77,9.11,8.51,8.84,331073000.0,5041600000.0,0.55,0.6
5203,eos,EOS,EOS,2018-02-01,5,12.24,12.4,9.9,10.21,919859000.0,7826060000.0,0.124,2.5
5231,eos,EOS,EOS,2018-03-01,5,8.39,8.63,8.3,8.63,214126000.0,5859140000.0,1.0,0.33
5262,eos,EOS,EOS,2018-04-01,5,6.0,6.04,5.25,5.66,401303000.0,4580830000.0,0.519,0.79
5292,eos,EOS,EOS,2018-05-01,5,17.67,19.08,16.31,18.95,3330130000.0,14610700000.0,0.9531,2.77
5323,eos,EOS,EOS,2018-06-01,5,12.29,12.4,11.99,12.31,1058150000.0,10956700000.0,0.7805,0.41
5332,litecoin,LTC,Litecoin,2013-05-01,6,4.29,4.36,3.52,3.8,0.0,73901200.0,0.3333,0.84
5363,litecoin,LTC,Litecoin,2013-06-01,6,2.94,2.97,2.8,2.83,0.0,53372200.0,0.1765,0.17
5393,litecoin,LTC,Litecoin,2013-07-01,6,3.01,3.3,2.88,2.95,0.0,57266300.0,0.1667,0.42
5424,litecoin,LTC,Litecoin,2013-08-01,6,2.87,3.01,2.85,2.91,0.0,57264600.0,0.375,0.16
5455,litecoin,LTC,Litecoin,2013-09-01,6,2.59,2.76,2.54,2.58,0.0,53981600.0,0.1818,0.22
5485,litecoin,LTC,Litecoin,2013-10-01,6,2.34,2.51,2.33,2.42,0.0,50834400.0,0.5,0.18
5516,litecoin,LTC,Litecoin,2013-11-01,6,2.34,2.48,2.33,2.45,0.0,52967400.0,0.8,0.15
5546,litecoin,LTC,Litecoin,2013-12-01,6,40.57,42.03,27.86,34.74,0.0,953397000.0,0.4855,14.17
5577,litecoin,LTC,Litecoin,2014-01-01,6,24.35,25.01,24.31,24.62,8092540.0,595241000.0,0.4429,0.7
5608,litecoin,LTC,Litecoin,2014-02-01,6,22.1,23.38,22.08,22.47,6694190.0,559715000.0,0.3,1.3
5636,litecoin,LTC,Litecoin,2014-03-01,6,13.23,13.82,13.04,13.65,3267220.0,345571000.0,0.7821,0.78
5667,litecoin,LTC,Litecoin,2014-04-01,6,12.77,13.67,12.76,13.13,7346120.0,345810000.0,0.4066,0.91
5697,litecoin,LTC,Litecoin,2014-05-01,6,10.93,11.38,10.9,11.1,4444330.0,305458000.0,0.4167,0.48
5728,litecoin,LTC,Litecoin,2014-06-01,6,10.93,11.56,10.89,11.14,7308220.0,315445000.0,0.3731,0.67
5758,litecoin,LTC,Litecoin,2014-07-01,6,8.96,9.03,7.79,7.79,6485840.0,266885000.0,0.0,1.24
5789,litecoin,LTC,Litecoin,2014-08-01,6,7.54,7.78,7.45,7.7,1849420.0,231533000.0,0.7576,0.33
5820,litecoin,LTC,Litecoin,2014-09-01,6,4.86,4.96,4.71,4.71,2185090.0,153547000.0,0.0,0.25
5850,litecoin,LTC,Litecoin,2014-10-01,6,4.47,4.5,4.38,4.43,1172180.0,145326000.0,0.4167,0.12
5881,litecoin,LTC,Litecoin,2014-11-01,6,3.76,3.76,3.56,3.57,2476220.0,125479000.0,0.05,0.2
5911,litecoin,LTC,Litecoin,2014-12-01,6,3.58,3.61,3.57,3.58,1275120.0,122616000.0,0.25,0.04
5942,litecoin,LTC,Litecoin,2015-01-01,6,2.72,2.72,2.69,2.7,770693.0,95896300.0,0.3333,0.03
5973,litecoin,LTC,Litecoin,2015-02-01,6,1.88,1.88,1.68,1.8,2661610.0,67769100.0,0.6,0.2
6001,litecoin,LTC,Litecoin,2015-03-01,6,1.85,1.91,1.81,1.89,1697220.0,68053900.0,0.8,0.1
6032,litecoin,LTC,Litecoin,2015-04-01,6,1.65,1.68,1.63,1.66,1245880.0,62351500.0,0.6,0.05
6062,litecoin,LTC,Litecoin,2015-05-01,6,1.44,1.45,1.41,1.41,1169670.0,55731500.0,0.0,0.04
6093,litecoin,LTC,Litecoin,2015-06-01,6,1.64,1.68,1.59,1.62,1998470.0,64744100.0,0.3333,0.09
6123,litecoin,LTC,Litecoin,2015-07-01,6,4.09,4.11,3.84,3.92,7113180.0,164994000.0,0.2963,0.27
6154,litecoin,LTC,Litecoin,2015-08-01,6,4.64,4.64,4.07,4.15,6284530.0,191524000.0,0.1404,0.57
6185,litecoin,LTC,Litecoin,2015-09-01,6,2.85,2.88,2.81,2.82,1376040.0,119819000.0,0.1429,0.07
6215,litecoin,LTC,Litecoin,2015-10-01,6,3.01,3.05,2.96,3.0,1644010.0,128156000.0,0.4444,0.09
6246,litecoin,LTC,Litecoin,2015-11-01,6,3.82,3.99,3.77,3.96,3801480.0,163929000.0,0.8636,0.22
6276,litecoin,LTC,Litecoin,2015-12-01,6,3.63,3.64,3.4,3.43,2841630.0,157352000.0,0.125,0.24
6307,litecoin,LTC,Litecoin,2016-01-01,6,3.48,3.53,3.47,3.51,2791170.0,152570000.0,0.6667,0.06
6338,litecoin,LTC,Litecoin,2016-02-01,6,3.07,3.1,3.06,3.08,1502430.0,136125000.0,0.5,0.04
6367,litecoin,LTC,Litecoin,2016-03-01,6,3.45,3.45,3.41,3.43,1133580.0,154187000.0,0.5,0.04
6398,litecoin,LTC,Litecoin,2016-04-01,6,3.25,3.26,3.23,3.24,1316230.0,146576000.0,0.3333,0.03
6428,litecoin,LTC,Litecoin,2016-05-01,6,3.66,3.72,3.64,3.71,1911590.0,166735000.0,0.875,0.08
6459,litecoin,LTC,Litecoin,2016-06-01,6,4.65,4.77,4.62,4.74,4577160.0,214171000.0,0.8,0.15
6489,litecoin,LTC,Litecoin,2016-07-01,6,4.19,4.33,4.18,4.26,6987180.0,194823000.0,0.5333,0.15
6520,litecoin,LTC,Litecoin,2016-08-01,6,4.06,4.06,3.86,3.86,1991690.0,190585000.0,0.0,0.2
6551,litecoin,LTC,Litecoin,2016-09-01,6,3.8,3.85,3.79,3.83,2241890.0,179752000.0,0.6667,0.06
6581,litecoin,LTC,Litecoin,2016-10-01,6,3.85,3.86,3.84,3.85,1426340.0,183883000.0,0.5,0.02
6612,litecoin,LTC,Litecoin,2016-11-01,6,4.0,4.15,3.99,4.09,4714890.0,192875000.0,0.625,0.16
6642,litecoin,LTC,Litecoin,2016-12-01,6,3.91,3.92,3.89,3.91,1985600.0,190306000.0,0.6667,0.03
6673,litecoin,LTC,Litecoin,2017-01-01,6,4.33,4.52,4.33,4.51,11337500.0,212691000.0,0.9474,0.19
6704,litecoin,LTC,Litecoin,2017-02-01,6,4.08,4.13,4.03,4.08,7753930.0,202128000.0,0.5,0.1
6732,litecoin,LTC,Litecoin,2017-03-01,6,3.77,3.81,3.76,3.8,4405000.0,188623000.0,0.8,0.05
6763,litecoin,LTC,Litecoin,2017-04-01,6,6.65,6.98,6.31,6.88,57711700.0,335526000.0,0.8507,0.67
6793,litecoin,LTC,Litecoin,2017-05-01,6,15.71,16.37,14.88,15.92,66989400.0,799215000.0,0.698,1.49
6824,litecoin,LTC,Litecoin,2017-06-01,6,25.34,29.62,25.3,28.8,420473000.0,1301540000.0,0.8102,4.32
6854,litecoin,LTC,Litecoin,2017-07-01,6,40.4,40.58,38.47,38.99,225507000.0,2092370000.0,0.2464,2.11
6885,litecoin,LTC,Litecoin,2017-08-01,6,43.02,43.77,41.09,43.04,203656000.0,2248110000.0,0.7276,2.68
6916,litecoin,LTC,Litecoin,2017-09-01,6,70.86,87.41,70.01,86.04,1551740000.0,3735870000.0,0.9213,17.4
6946,litecoin,LTC,Litecoin,2017-10-01,6,55.14,55.16,53.63,54.54,100183000.0,2931740000.0,0.5948,1.53
6977,litecoin,LTC,Litecoin,2017-11-01,6,55.74,55.74,53.18,53.18,112759000.0,2989140000.0,0.0,2.56
7007,litecoin,LTC,Litecoin,2017-12-01,6,88.0,100.41,83.74,99.0,561343000.0,4758600000.0,0.9154,16.67
7038,litecoin,LTC,Litecoin,2018-01-01,6,231.67,236.63,222.2,229.03,633142000.0,12639700000.0,0.4733,14.43
7069,litecoin,LTC,Litecoin,2018-02-01,6,163.68,165.81,131.55,142.3,539880000.0,9004330000.0,0.3138,34.26
7097,litecoin,LTC,Litecoin,2018-03-01,6,203.12,214.7,201.54,209.75,678542000.0,11257600000.0,0.6239,13.16
7128,litecoin,LTC,Litecoin,2018-04-01,6,116.91,117.83,110.52,115.22,274182000.0,6532610000.0,0.643,7.31
7158,litecoin,LTC,Litecoin,2018-05-01,6,148.34,148.54,143.94,148.49,342152000.0,8355630000.0,0.9891,4.6
7189,litecoin,LTC,Litecoin,2018-06-01,6,118.03,120.2,117.12,119.92,290886000.0,6701530000.0,0.9091,3.08
7222,stellar,XLM,Stellar,2014-09-01,7,0.002061,0.002098,0.001999,0.00201,27975.0,2149450.0,0.1111,0.0
7252,stellar,XLM,Stellar,2014-10-01,7,0.003221,0.003283,0.002798,0.00288,70180.0,4147990.0,0.1691,0.0
7283,stellar,XLM,Stellar,2014-11-01,7,0.001686,0.001693,0.001525,0.0015480000000000001,494272.0,2508800.0,0.1369,0.0
7313,stellar,XLM,Stellar,2014-12-01,7,0.002211,0.002681,0.002133,0.002541,73122.0,7832720.0,0.7445,0.0
7344,stellar,XLM,Stellar,2015-01-01,7,0.005517,0.0055509999999999995,0.005406,0.005493,20514.0,19624300.0,0.6,0.0
7375,stellar,XLM,Stellar,2015-02-01,7,0.004325,0.00439,0.003901,0.004142,70975.0,15527200.0,0.4928,0.0
7403,stellar,XLM,Stellar,2015-03-01,7,0.003047,0.003052,0.002781,0.002781,17782.0,11020100.0,0.0,0.0
7434,stellar,XLM,Stellar,2015-04-01,7,0.002874,0.00288,0.002735,0.002803,10523.0,12346900.0,0.469,0.0
7464,stellar,XLM,Stellar,2015-05-01,7,0.002735,0.002779,0.002647,0.002647,5405.0,13191700.0,0.0,0.0
7495,stellar,XLM,Stellar,2015-06-01,7,0.003397,0.003407,0.0030670000000000003,0.003073,20681.0,16432800.0,0.0176,0.0
7525,stellar,XLM,Stellar,2015-07-01,7,0.003469,0.003486,0.0033659999999999996,0.0034579999999999997,13853.0,16782500.0,0.7667,0.0
7556,stellar,XLM,Stellar,2015-08-01,7,0.0026449999999999998,0.00275,0.00259,0.0026420000000000003,11103.0,12792500.0,0.325,0.0
7587,stellar,XLM,Stellar,2015-09-01,7,0.002478,0.002549,0.00242,0.002435,4818.0,11986800.0,0.1163,0.0
7617,stellar,XLM,Stellar,2015-10-01,7,0.001984,0.0022530000000000002,0.0019199999999999998,0.002224,12894.0,9596740.0,0.9129,0.0
7648,stellar,XLM,Stellar,2015-11-01,7,0.00216,0.0022370000000000003,0.002045,0.002128,10484.0,10450300.0,0.4323,0.0
7678,stellar,XLM,Stellar,2015-12-01,7,0.001721,0.001739,0.0016059999999999998,0.001739,4810.0,8324030.0,1.0,0.0
