,date,count_commits,count_issues,count_pulls,price
219,2011-07-27,575,123,210,13.88
220,2011-07-28,575,123,210,13.94
221,2011-07-29,579,123,210,13.49
222,2011-07-30,585,123,213,13.5
223,2011-07-31,590,125,216,13.53
224,2011-08-01,592,126,217,13.35
225,2011-08-02,595,126,217,13.09
226,2011-08-03,602,129,219,12.05
227,2011-08-04,606,129,220,9.26
228,2011-08-05,609,130,221,10.75
229,2011-08-06,611,130,221,9.8
230,2011-08-07,616,130,221,6.55
231,2011-08-08,627,131,222,7.9
232,2011-08-09,629,131,222,7.8
233,2011-08-10,629,131,222,9.99
234,2011-08-11,639,131,228,9.98
235,2011-08-12,640,132,230,9.46
236,2011-08-13,640,132,230,9.46
237,2011-08-14,640,132,230,10.13
238,2011-08-15,640,132,230,10.8
239,2011-08-16,645,134,231,11.15
240,2011-08-17,647,134,232,10.96
241,2011-08-18,647,134,232,10.95
242,2011-08-19,653,134,232,10.83
243,2011-08-20,653,134,232,11.65
244,2011-08-21,654,134,233,11.45
245,2011-08-22,655,134,233,11.31
246,2011-08-23,660,134,233,10.9
247,2011-08-24,661,135,234,10.94
248,2011-08-25,662,135,234,10.85
249,2011-08-26,663,135,234,9.66
250,2011-08-27,663,135,234,8.18
251,2011-08-28,664,136,234,8.59
252,2011-08-29,664,136,234,9.07
253,2011-08-30,664,136,234,8.97
254,2011-08-31,673,138,235,8.79
255,2011-09-01,681,138,235,8.2
256,2011-09-02,693,140,236,8.21
257,2011-09-03,698,141,237,8.64
258,2011-09-04,698,141,237,8.48
259,2011-09-05,699,143,239,8.18
260,2011-09-06,712,143,246,7.61
261,2011-09-07,718,143,247,6.86
262,2011-09-08,719,144,248,7.19
263,2011-09-09,723,144,251,6.53
264,2011-09-10,723,144,251,5.03
265,2011-09-11,730,144,253,4.77
266,2011-09-12,730,144,254,5.86
267,2011-09-13,731,144,254,6.08
268,2011-09-14,733,146,256,5.8
269,2011-09-15,733,146,256,5.62
270,2011-09-16,734,146,256,4.84
271,2011-09-17,735,146,258,4.82
272,2011-09-18,738,146,259,4.77
273,2011-09-19,740,146,261,5.2
274,2011-09-20,740,146,262,5.46
275,2011-09-21,744,146,262,6.11
276,2011-09-22,752,146,262,5.61
277,2011-09-23,755,146,262,5.43
278,2011-09-24,757,148,263,5.55
279,2011-09-25,757,148,263,5.47
280,2011-09-26,768,148,263,5.33
281,2011-09-27,781,148,266,4.87
282,2011-09-28,785,148,269,4.92
283,2011-09-29,790,149,271,4.77
284,2011-09-30,793,149,271,4.78
285,2011-10-01,798,150,273,5.14
286,2011-10-02,800,150,273,5.03
287,2011-10-03,804,152,274,5.03
288,2011-10-04,809,152,292,5.02
289,2011-10-05,820,153,294,4.96
290,2011-10-06,824,153,296,4.87
291,2011-10-07,826,153,297,4.73
292,2011-10-08,828,153,297,4.27
293,2011-10-09,841,153,299,4.01
294,2011-10-10,848,155,300,4.1
295,2011-10-11,849,155,301,4.1
296,2011-10-12,849,155,301,3.93
297,2011-10-13,849,155,301,4.15
298,2011-10-14,850,155,302,4.05
299,2011-10-15,851,155,303,3.99
300,2011-10-16,851,155,303,3.84
301,2011-10-17,851,155,305,3.56
302,2011-10-18,852,155,305,2.56
303,2011-10-19,852,155,305,2.42
304,2011-10-20,852,155,305,2.27
305,2011-10-21,852,155,305,2.35
306,2011-10-22,852,155,305,2.57
307,2011-10-23,855,155,306,3.16
308,2011-10-24,858,155,307,3.17
309,2011-10-25,875,155,307,2.55
310,2011-10-26,875,155,307,2.77
311,2011-10-27,875,155,307,2.77
312,2011-10-28,875,155,307,3.04
313,2011-10-29,876,158,308,3.19
314,2011-10-30,876,158,308,3.58
315,2011-10-31,876,158,308,3.27
316,2011-11-01,881,159,308,3.25
317,2011-11-02,883,159,309,3.15
318,2011-11-03,886,159,311,3.25
319,2011-11-04,890,160,313,3.15
320,2011-11-05,890,160,313,3.11
321,2011-11-06,892,161,315,2.97
322,2011-11-07,894,164,315,2.96
323,2011-11-08,901,172,318,3.01
